k,silhouette_score
2,0.10867238271733701
3,0.06442998511408526
4,0.04271607567517794
5,0.01987290737106961
6,0.02049086619896296
7,0.017178471790481986
8,0.027422623027794787
9,0.023763397154061058
10,0.024902424417319016
11,0.02379003642029592
12,0.02439530858148038
13,0.021863191130012137
14,0.01784890031501732
15,0.01593417449244914
16,0.016709061924196304
17,0.016764925805395417
18,0.017092277284865696
19,0.016117837545229257
20,0.016489535183920347
21,0.013377355836731218
22,0.017602959988661918
23,0.017153685051140902
24,0.01568245387248589
25,0.015680209925639746
